"Cafe","Indice_0_100"
"1059",56.97
"966",56.93
"1101",56.93
"953",56.9
"1091",56.86
"980",56.85
"975",56.84
"1053",56.83
"987",56.82
"994",56.8
"963",56.77
"999",56.77
"1087",56.69
"1078",56.67
"1085",56.61
"940",56.6
"954",56.59
"985",56.56
"1129",56.56
"1142",56.56
"988",56.55
"1064",56.54
"989",56.52
"1060",56.52
"1068",56.51
"981",56.37
"1004",56.28
"865",56.27
"1200",56.27
"993",56.25
"1086",56.25
"1050",56.22
"1159",56.18
"1094",56.15
"1123",56.11
"1077",56.09
"1116",55.91
"1098",55.87
"1174",55.84
"1080",55.83
"1097",55.83
"1006",55.82
"1002",55.81
"1034",55.77
"1025",55.74
"1041",55.74
"1022",55.73
"1024",55.72
"1082",55.7
"1117",55.69
"1105",55.68
"1103",55.65
"1011",55.58
"1184",55.53
"1040",55.46
"1115",55.44
"1000",55.37
"1023",55.28
"1075",55.24
"1045",55.23
"1046",55.18
"24",55.17
"1109",55.13
"1112",55.13
"1119",55.1
"1167",55.08
"1132",55.07
"1143",55.07
"1061",55.05
"1121",55.03
"1063",54.91
"26",54.83
"1118",54.82
"1155",54.82
"1187",54.75
"1062",54.71
"1052",54.64
"1141",54.59
"1131",54.55
"1057",54.54
"1072",54.54
"1221",54.54
"1106",54.52
"1173",54.51
"1207",54.51
"1017",54.41
"1177",54.39
"1083",54.35
"1070",54.33
"1196",54.33
"1186",54.27
"1193",54.26
"1137",54.18
"1073",54.11
"1144",54.06
"1176",54.06
"1146",54.05
"1147",54.04
"1148",54.04
"1067",54.03
"1093",54.01
"1188",53.99
"1279",53.95
"1069",53.94
"1134",53.87
"1203",53.82
"1154",53.79
"1090",53.64
"1107",53.61
"1160",53.55
"1113",53.54
"1172",53.54
"991",53.5
"1124",53.32
"1099",53.3
"1108",53.09
"1114",53.08
"1169",53.08
"1100",53.04
"1136",53.02
"1102",52.97
"1213",52.94
"1139",52.93
"1175",52.93
"1133",52.81
"1120",52.79
"1125",52.79
"1153",52.71
"1229",52.63
"1255",52.56
"1241",52.55
"1127",52.47
"1189",52.45
"1197",52.39
"1138",52.26
"1128",52.25
"1199",52.14
"1140",52.13
"1156",52.01
"1149",52
"1150",51.98
"1157",51.98
"1164",51.9
"1135",51.82
"1165",51.77
"1210",51.64
"1161",51.54
"1126",51.46
"1185",51.45
"1166",51.43
"1260",51.41
"1145",51.32
"1162",51.28
"1204",51.27
"1191",51.26
"1236",51.2
"950",51.18
"1152",50.96
"1151",50.84
"1170",50.78
"1183",50.73
"1181",50.71
"1192",50.68
"1163",50.67
"1268",50.64
"1211",50.6
"1171",50.58
"1182",50.58
"1271",50.56
"1289",50.51
"1215",50.47
"1216",50.47
"1222",50.46
"1180",50.43
"1190",50.08
"1195",49.96
"1194",49.95
"1179",49.92
"1202",49.8
"1201",49.75
"1261",49.72
"1249",49.61
"1240",49.46
"1227",49.28
"1245",49.28
"1198",49.23
"1209",49.23
"1225",49.2
"1205",49.14
"1266",49.13
"1218",49.09
"1253",49
"1226",48.99
"1208",48.93
"1214",48.9
"1212",48.89
"1237",48.82
"1267",48.77
"1288",48.69
"1219",48.62
"1258",48.62
"1220",48.55
"1248",48.55
"1076",48.48
"1270",48.45
"1228",48.38
"1246",48.29
"1230",48.24
"1262",48.24
"1224",48.19
"1272",48.17
"1231",48.04
"1223",47.94
"1259",47.87
"1232",47.81
"1233",47.79
"1234",47.39
"1239",47.26
"1256",47.23
"1264",47.15
"1274",47.01
"1250",46.94
"1257",46.92
"1242",46.75
"1276",46.63
"1238",46.59
"1235",46.42
"1254",46.42
"1269",46.22
"1252",46.2
"1206",46.19
"1251",46.15
"1247",46.08
"1282",46.01
"1243",45.99
"1296",45.86
"1244",45.4
"1277",45.23
"1278",45.2
"1283",45.12
"1263",44.74
"1275",44.34
"1265",44.29
"1273",44.18
"1286",44.05
"1293",43.74
"1281",43.05
"27",43.04
"1295",42.88
"1280",42.48
"1284",42.36
"1298",42.26
"1287",42.09
"1303",42.09
"1315",41.69
"1291",40.81
"1302",40.46
"1320",40
"28",39.78
"1290",39.72
"1294",39.49
"1324",38.78
"1292",38.71
"1300",38.66
"1299",38.18
"1297",37.86
"1301",37.76
"1304",37.58
"1305",36.48
"1285",35.83
"1307",35.59
"1311",35.54
"1308",35.51
"1306",35.42
"1309",35.28
"1313",34.57
"1316",34.39
"1312",34.28
"1314",33.65
"1322",33.6
"1310",33.47
"1319",33.08
"1317",32.81
"1321",32.52
"1323",31.47
"1318",31.27
"1325",30.55
"1327",27.21
"1331",23.35
"1328",22.91
"1326",22.1
"1329",21.13
"1330",20.78
"1332",18.35
"1333",18.18
"1334",17.77
"1335",14.81
"1336",11.62
"1337",0
