"","Species","CountryOrigin","FragranceAroma","Flavor","Aftertaste","SaltAcid","Mouthfeel","Balance","BitterSweet","UniformCup","CleanCup","CupperPoints","qualityscore","clust"
"183","Arabica","Costa Rica",7.75,7.83,7.75,8,7.67,10,7.83,10,10,7.75,84.58,"5"
"184","Arabica","Colombia",7.42,7.67,7.75,7.75,7.83,10,8.08,10,10,8.08,84.58,"5"
"185","Arabica","Brazil",8,8,7.75,7.75,7.75,10,7.58,10,10,7.75,84.58,"5"
"186","Arabica","Brazil",8.5,8,7.5,7.75,7.83,10,7.5,10,10,7.5,84.58,"5"
"187","Arabica","Costa Rica",7.92,7.67,7.92,7.75,7.58,10,7.67,10,10,8,84.5,"5"
"188","Arabica","Uganda",7.92,7.75,7.67,7.75,7.75,10,7.83,10,10,7.83,84.5,"6"
"189","Arabica","China",7.75,7.92,7.67,7.83,7.67,10,7.75,10,10,7.92,84.5,"5"
"190","Arabica","Costa Rica",7.92,7.83,7.83,7.83,7.58,10,7.58,10,10,7.92,84.5,"5"
"191","Arabica","Colombia",8.08,7.67,7.83,7.83,7.67,10,7.67,10,10,7.75,84.5,"5"
"192","Arabica","China",7.67,8,7.75,7.83,7.58,10,7.75,10,10,7.92,84.5,"5"
"193","Arabica","Guatemala",8.17,7.83,7.67,7.83,7.83,10,7.67,10,10,7.5,84.5,"6"
"194","Arabica","Kenya",7.92,7.83,7.67,8,7.75,10,7.67,10,10,7.67,84.5,"6"
"195","Arabica","Mexico",8,7.92,7.42,8.08,7.67,10,7.5,10,10,7.92,84.5,"5"
"196","Arabica","Mexico",7.92,7.83,7.75,7.75,7.83,10,7.75,10,10,7.67,84.5,"5"
"197","Arabica","Guatemala",7.67,8,7.67,8,7.83,10,7.5,10,10,7.83,84.5,"6"
"198","Arabica","Brazil",7.81,7.81,7.88,7.75,8.25,10,7.38,9.5,10,8.13,84.5,"5"
"199","Arabica","Brazil",8.17,7.67,7.75,7.75,7.75,10,7.67,10,10,7.75,84.5,"5"
"200","Arabica","Costa Rica",7.58,7.83,7.83,8,7.58,10,7.67,10,10,7.92,84.42,"5"
"201","Arabica","Indonesia",7.67,7.67,7.83,7.58,7.83,10,7.83,10,10,8,84.42,"6"
"202","Arabica","Colombia",7.92,7.83,7.75,7.67,7.67,10,7.92,10,10,7.67,84.42,"5"
"203","Arabica","Colombia",7.92,7.75,7.67,7.92,7.75,10,7.67,10,10,7.75,84.42,"5"
"204","Arabica","Taiwan",7.83,7.83,7.75,8,7.75,10,7.5,10,10,7.75,84.42,"5"
"205","Arabica","United States (Hawaii)",7.92,7.92,7.5,7.83,7.92,10,7.5,10,10,7.83,84.42,"3"
"206","Arabica","Mexico",7.75,7.92,7.75,7.67,7.67,10,7.83,10,10,7.83,84.42,"5"
"207","Arabica","Ethiopia",7.5,7.75,7.83,7.92,7.75,10,7.92,10,10,7.75,84.42,"6"
"208","Arabica","Kenya",7.33,7.58,7.83,7.75,7.92,10,7.75,10,10,8.17,84.33,"6"
"209","Arabica","Honduras",7.92,8,7.75,7.67,7.75,10,7.67,10,10,7.58,84.33,"5"
"210","Arabica","Colombia",7.58,7.75,7.5,7.83,8.5,10,7.67,10,10,7.5,84.33,"5"
"211","Arabica","Honduras",7.58,7.92,7.58,7.75,7.75,10,7.92,10,10,7.83,84.33,"5"
"212","Arabica","Colombia",7.67,7.67,7.75,7.83,7.83,10,7.75,10,10,7.83,84.33,"5"
"213","Arabica","Colombia",7.75,7.67,8,7.67,7.83,10,8.08,10,10,7.33,84.33,"5"
"214","Arabica","Colombia",7.75,7.58,7.33,7.83,8.08,10,7.58,10,10,8.17,84.33,"5"
"215","Arabica","Mexico",8,7.75,7.75,7.83,7.67,10,7.5,10,10,7.83,84.33,"5"
"216","Arabica","Brazil",8.17,8,7.5,7.75,7.67,10,7.5,10,10,7.75,84.33,"5"
"217","Arabica","Brazil",8,8,7.5,7.5,7.75,10,7.67,10,10,7.92,84.33,"5"
"218","Arabica","Ethiopia",7.75,7.75,7.92,7.75,7.92,10,7.5,10,10,7.75,84.33,"6"
"219","Arabica","Guatemala",7.5,7.67,7.75,7.67,7.92,10,7.92,10,10,7.92,84.33,"6"
"220","Arabica","Taiwan",7.92,7.75,7.75,7.67,7.83,10,7.67,10,10,7.67,84.25,"5"
